Designator,Mid X,Mid Y,Layer,Rotation
B3,63.82,46.76,Bottom,180.0
C1,53.66,12.72,Bottom,270.0
C2,69.85,25.15,Bottom,180.0
C3,89.47,22.63,Bottom,180.0
C4,89.47,26.69,Bottom,180.0
C5,89.47,24.66,Bottom,180.0
C6,82.62,27.46,Bottom,0.0
C7,11.68,32.51,Bottom,0.0
C8,97.28, 9.14,Bottom,270.0
C9,34.54,14.48,Bottom,180.0
C10,34.61,22.63,Bottom,180.0
C11,34.54,16.51,Bottom,180.0
C12, 7.43,42.95,Bottom,0.0
C13,44.70,12.70,Bottom,270.0
C14,48.77,12.70,Bottom,270.0
C15,46.74,12.70,Bottom,270.0
C16,19.37,32.28,Bottom,180.0
C17,55.69,12.72,Bottom,270.0
C18,19.37,34.31,Bottom,180.0
C19,89.47,28.73,Bottom,180.0
C20,41.91,12.70,Bottom,270.0
C21, 7.11,36.83,Bottom,90.0
C22,14.73,36.32,Bottom,270.0
C23,82.30,33.27,Bottom,90.0
C24,25.15,16.00,Bottom,90.0
C25,22.10,10.92,Bottom,90.0
C26,69.85,23.11,Bottom,180.0
C27,69.85,19.30,Bottom,180.0
C28,15.75,42.16,Bottom,0.0
C29,28.70,10.92,Bottom,90.0
C30,30.73,10.92,Bottom,90.0
C31,15.75,40.13,Bottom,0.0
C32,39.88,12.70,Bottom,270.0
C33,37.85,12.70,Bottom,270.0
C34,95.00, 9.14,Bottom,270.0
C35,92.71, 9.14,Bottom,270.0
C36,90.42, 9.14,Bottom,270.0
C37,88.14, 9.14,Bottom,270.0
C38,85.85, 9.14,Bottom,270.0
C39,99.57, 9.14,Bottom,270.0
C40,101.85, 9.14,Bottom,270.0
C41,106.43,14.48,Bottom,90.0
C42,104.14,14.48,Bottom,90.0
CR1,98.87,15.01,Bottom,90.0
CR2,82.62,25.42,Bottom,0.0
D1,67.63,12.72,Bottom,270.0
D2,12.00, 9.68,Bottom,180.0
D5,12.00, 6.12,Bottom,180.0
F1,17.34,46.76,Bottom,180.0
L1,97.35,24.38,Bottom,90.0
L2,97.35,24.41,Bottom,90.0
L3,25.40, 6.60,Bottom,180.0
Q1,76.45,12.95,Bottom,90.0
Q2,82.86,18.31,Bottom,270.0
Q3,96.84,15.01,Bottom,180.0
Q4,34.54,19.56,Bottom,90.0
Q5,34.54,25.65,Bottom,90.0
Q6,11.43,45.97,Bottom,90.0
Q7,85.60,33.27,Bottom,0.0
Q8,89.66,33.27,Bottom,0.0
R1,79.57,16.28,Bottom,180.0
R2,104.46,20.09,Bottom,270.0
R3,75.69,33.27,Bottom,90.0
R4, 7.43,44.98,Bottom,180.0
R5,82.62,23.39,Bottom,180.0
R6,82.62,29.49,Bottom,180.0
R7, 7.43,47.01,Bottom,0.0
R8,71.19,12.98,Bottom,90.0
R10,104.46,24.15,Bottom,270.0
R11,15.56,31.52,Bottom,0.0
R12,15.56,29.49,Bottom,0.0
R13,19.37,36.35,Bottom,180.0
R14,86.87,19.30,Bottom,0.0
R15,19.37,38.38,Bottom,180.0
R16, 5.15,11.45,Bottom,90.0
R17,11.68,26.92,Bottom,180.0
R18,24.45,34.82,Bottom,180.0
R19,28.51,34.82,Bottom,180.0
R20,25.72,24.92,Bottom,270.0
R21,23.69,24.92,Bottom,270.0
R22,34.54,12.45,Bottom,180.0
R23,21.66,24.92,Bottom,90.0
R24,31.18,22.58,Bottom,180.0
R25,11.50,49.05,Bottom,180.0
R26,104.46,28.22,Bottom,90.0
R27,104.46,32.28,Bottom,90.0
R28,82.62,21.36,Bottom,180.0
R29,76.71, 9.65,Bottom,0.0
R30,82.55, 9.65,Bottom,270.0
R31,82.55, 6.35,Bottom,270.0
R32,80.01, 6.35,Bottom,90.0
R33,80.01, 9.65,Bottom,90.0
R34,76.71, 7.62,Bottom,180.0
R35,12.51,40.66,Bottom,270.0
R36,35.63,30.00,Bottom,270.0
R37,69.85,29.21,Bottom,180.0
R38,69.85,27.18,Bottom,180.0
R39, 8.96,39.39,Bottom,0.0
R40, 4.60,36.76,Bottom,180.0
R41,29.21,16.00,Bottom,90.0
R42,27.18,16.00,Bottom,270.0
R43,23.11,16.00,Bottom,90.0
R44,11.68,30.48,Bottom,180.0
R45, 9.21,36.85,Bottom,270.0
R46,17.27,26.92,Bottom,0.0
R47,26.92,21.72,Bottom,45.0
R48,29.85,27.30,Bottom,315.0
R49,32.26,28.58,Bottom,225.0
R50,89.28,15.75,Bottom,270.0
R51,99.31,34.04,Bottom,90.0
R52,97.03,34.04,Bottom,90.0
R53,94.74,34.04,Bottom,90.0
U1,76.27,21.36,Bottom,180.0
U2,78.99,33.27,Bottom,0.0
U3,51.63,25.17,Bottom,90.0
U4,24.45,30.25,Bottom,0.0
U6,25.40,11.68,Bottom,180.0
U7,12.00,36.35,Bottom,90.0
